user_id,transaction_date,region,product_category,sale_amount,city,age,subscription,email,username,status,price,store_id,raw_timestamp
U0655,2024-04-01,West,Home,7820.32,Kolkata,33,Free,user0@email.com,user_0,Inactive,2825.4,S005,2024-11-15 09:43:00
U0115,2024-06-03,South,Food,2221.75,Ahmedabad,45,Premium,user1@email.com,user_1,Inactive,,S001,2024-07-20 04:07:00
U0026,2024-01-08,West,Home,2291.38,Jaipur,23,Premium,user2@email.com,user_2,Active,3229.09,S002,2024-12-08 06:40:00
U0760,2024-12-28,West,Sports,2328.61,Mumbai,22,Premium,user3@email.com,user_3,,3103.18,S002,2024-06-13 09:45:00
U0282,2024-09-30,North,Home,2146.64,Jaipur,59,Free,user4@email.com,user_4,Pending,,S003,2024-02-12 11:38:00
U0251,2024-03-05,North,Sports,6550.71,Pune,32,Free,user5@email.com,user_5,Pending,4814.35,S002,2024-09-10 00:39:00
U0229,2024-05-20,North,Home,5181.48,Kolkata,36,Basic,user6@email.com,user_6,Pending,3618.1,S003,2024-10-29 13:10:00
U0143,2024-01-24,East,Electronics,8659.84,Bangalore,48,Premium,user7@email.com,user_7,Pending,4908.95,S003,2024-07-05 08:12:00
U0755,2024-01-28,South,Food,9674.67,Ahmedabad,41,Premium,user8@email.com,user_8,Pending,4280.64,S004,2024-09-19 08:33:00
U0105,2024-10-10,South,Food,6853.78,Delhi,48,Basic,user9@email.com,user_9,Pending,1750.68,S005,2024-01-13 15:20:00
U0693,2024-05-29,West,Sports,4793.56,Jaipur,28,Premium,user10@email.com,user_10,Inactive,1959.22,S005,2024-03-26 01:41:00
U0759,2024-12-23,North,Home,1409.91,Ahmedabad,59,Premium,user11@email.com,user_11,Pending,,S005,2024-05-02 22:19:00
U0559,2024-03-05,East,Clothing,1814.69,Pune,28,Premium,user12@email.com,user_12,Pending,1765.82,S005,2024-05-14 14:27:00
U0090,2024-11-22,South,Food,8028.56,Mumbai,54,Premium,user13@email.com,user_13,Inactive,1703.06,S003,2024-06-21 01:17:00
U0605,2024-09-08,East,Home,2315.32,Mumbai,18,Premium,user14@email.com,user_14,,3935.62,S002,2024-12-02 14:42:00
U0433,2024-02-22,North,Home,6122.6,Hyderabad,21,Free,user15@email.com,user_15,Pending,3815.41,S003,2024-02-11 10:35:00
U0033,2024-01-07,North,Electronics,9435.75,Kolkata,51,Free,user16@email.com,user_16,Pending,1975.7,S004,2024-01-17 04:55:00
